"","行政區","路名","段、號及其他註明","經度","緯度","備註"
"172","中山區","中山北路","三段與民族西路交叉口海霸王對面","121.522721",25.068534,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"173","中山區","民權西路","(公車專用道)西往東1號對面","121.522232",25.062662,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"174","中山區","民權西路","(公車專用道)西往東1號對面","121.522232",25.062662,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"175","中山區","民生西路","與中山北路二段交叉口馬階醫院側","121.522667",25.057955,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"176","中山區","民族東路","10號前","121.523872",25.068349,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"177","中山區","林森北路","477號前","121.525725",25.06084,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"178","中山區","民權東路","一段1號公車道(東往西)","121.522819",25.062872,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"179","中山區","民權東路","一段1號公車道(東往西)","121.522819",25.062872,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"180","中山區","中山北路","三段雙號(美術館公車站牌)","121.523235",25.070137,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"181","中山區","民權東路","中山國小捷運站3號出口","121.527327",25.062524,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"182","中山區","民權東路","中山國小捷運站4號出口","121.526669",25.06279,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"183","中山區","中山北路","三段62號","121.523932",25.072711,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"184","中山區","中山北路","二段129號前","121.523006",25.061378,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"185","中山區","中山北路","三段51~3號前","121.522728",25.067348,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"186","中山區","中山北路","三段單號(美術館公車站牌)","121.523945",25.072079,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"187","中山區","中山北路","三段單號(美術館公車站牌)","121.523963",25.072193,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"188","中山區","中山北路","三段40號前","121.522393",25.067189,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"189","中山區","中山北路","二段112號前","121.522799",25.060771,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"190","中山區","民權東路","一段69號公車道(東往西)","121.525404",25.062609,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"191","中山區","民權東路","一段65號公車道","121.525389",25.06261,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"192","中山區","民權東路","一段69號公車道(東往西)","121.525404",25.062609,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"193","中山區","民權東路","一段65號公車道","121.525389",25.06261,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"194",",","67,"121.508659",25.029831,"
"195",",",","121.520263",25.047712,"
"196",",",","121.51966",25.046265,"
"197",",",","121.520188",25.046567,"
"198",",",","121.520514",25.047233,"
"199",",",","121.520388",25.046978,"
"200",",","2,"121.519212",25.045174,"
"201",",","(,"121.519093",25.044731,"
"202",",","(,"121.518727",25.043574,"
"203",",","(,"121.518451",25.042652,"
"204",",",","121.518251",25.041789,"
"205",",","(,"121.5177778",25.04027778,"
"206",",","(,"121.517125",25.038772,"
"207",",","20,"121.5169444",25.0375,"
"208",",","20,"121.5169444",25.03722222,"
"209",",",","121.5163889",25.03583333,"
"210",",","21,"121.517148",25.03669,"
"211",",","21,"121.517608",25.038292,"
"212",",","21,"121.517608",25.038292,"
"213",",",","121.516857",25.034859,"
"214",",","21,"121.516844",25.035709,"
"215",",","21,"121.517416",25.037612,"
"216",",",","121.521425",25.038896,"
"217",",",","121.518533",25.039078,"
"218",",",","121.519501",25.04484,"
"219",",",","121.519076",25.043166,"
"220",",",","121.518703",25.041975,"
"221",",",","121.518835",25.042461,"
"222",",",","121.519129",25.043374,"
"223",",",","121.519443",25.044398,"
"224",",",","121.519739",25.045341,"
"225",",",","121.507322",25.037807,"
"226",",",","121.507615",25.038814,"
"227",",",","121.507764",25.039397,"
"228",",",","121.507902",25.039824,"
"229",",",","121.508455",25.041766,"
"230",",",","121.508308",25.04179,"
"231",",",","121.508466",25.041849,"
"232",",",","121.508819",25.043229,"
"233",",",","121.509198",25.04438,"
